"Polarized Data for B=1.5T, filter rotated 0, 30, 60, 90 from noon to 3 on a clockface"
Wavelength(A)_MDPX,"Signal Strength, theta=0","Signal Strength, theta=30","Signal Strength, theta=60","Signal Strength, theta=90"
4458.246377774459,-0.052304751183505666,-0.03204130894048485,-0.026712782067942094,-0.01674830532522715
4458.268614368932,-0.006951876836783685,-0.018053014362690006,-0.009721495810143598,-0.00442833945854546
4458.290850963405,-0.0025115558056671584,-0.0031407223448940433,-0.015265480450150358,-0.015054310018558422
4458.313087557879,-0.014934188054571198,-0.027318655358256862,-0.012339488556813459,-0.020598294658565178
4458.335324152353,-0.010622200001232604,-0.018771679038246437,-0.020321799774600975,-0.015233976187447524
4458.357560746826,-0.02761348625903111,-0.027703654291590666,0.00303480218098307,-0.0088429938941064
4458.379797341299,-0.012187862330123403,-0.03904828952716006,-0.013058153232369888,-0.02236928975190067
4458.402033935773,-0.020632172267911482,-0.02819131960714682,-0.0173444746901529,-0.008637661129661705
4458.424270530246,-0.011135531912344343,-0.010532701864903057,0.0010328077276472955,-0.01030598984077485
4458.44650712472,-0.02812681817014284,-0.030911978736039025,-0.02127146381015769,-0.0363832509252511
4458.468743719193,-0.03005181283681186,-0.017668015429356202,-0.008463832627919842,-0.02724594290746218
4458.490980313667,0.00010643694100270102,-0.01379235950046259,-0.0048448426545820945,0.0027583072970188594
4458.51321690814,0.005111423074342138,-0.010070703144902495,-0.008694831987920123,-0.012410650676332973
4458.535453502614,-0.00959553617900913,-0.010045036549346908,-0.005845839881249982,-0.017287303831894477
4458.557690097087,-0.028819816250143685,-0.03227230830048513,-0.03846808283240088,-0.03515125433858293
4458.579926691561,-0.02679215520125233,-0.011764698451571227,-0.020860798281268293,-0.006840999440770625
4458.602163286034,-0.007285542579006313,-0.006657045936009442,-0.01523981385459477,-0.0026316777696543804
4458.624399880508,-0.010878865956788473,-0.03250330766048541,-0.022041461676825292,-0.015695974907448087
4458.646636474981,-0.027639152854586693,-0.024135997509364092,-0.027996111845721445,-0.02467928335190349
4458.668873069454,-0.002408889423444811,-0.008864373153789911,-0.0056148405212497,-0.011332653662998323
4458.691109663929,-0.006233212161227252,0.003096260375113563,-0.006872503703473456,-0.0029910101074325963
4458.7133462584015,-0.034851466205706595,-0.02616365855825545,-0.024402788467939283,-0.037820580276363966
4458.735582852875,-0.009800868943453826,0.005996585672894877,-0.0040235115968033155,0.013846276577032385
4458.757819447348,-0.035005465779040124,-0.02734432195381245,-0.021245797214602093,-0.022035624009678047
4458.780056041822,-0.04013878489015749,-0.04294961205160926,-0.04375540151685177,-0.03004360182302114
4458.8022926362955,-0.000252895396775515,-0.01492168970490841,-0.006179505623472611,0.002270641981462709
4458.824529230769,0.011502405367683266,0.028198190828477507,0.02000042184322598,0.022008253963709003
4458.846765825243,-0.028537483699032227,-0.031733309793817804,-0.028612110139055527,-0.04267156683636988
4458.869002419716,-0.04098578254349186,-0.03460796849604353,-0.02183612891238059,-0.03525392072080528
4458.8912390141895,0.023360372514364392,0.027890191681810464,-7.08558812429393e-05,-0.0030423432985437703
4458.913475608662,-0.014189856783459178,-0.012560362913794419,-0.012031489410146414,-0.010588322391886305
4458.935712203137,-0.03341413685459374,-0.02808865322492447,-0.02096346466349064,-0.04521255979637298
4458.95794879761,-0.02766481945014228,-0.007863375927122026,-0.02607111717905243,-0.031480931174134
4458.9801853920835,-0.033722136001260776,-0.022134003056028317,-0.022606126779048205,-0.0309162660719111
4459.002421986557,-0.026740822010141153,-0.021877337100472447,-0.014110483650148949,-0.018185634676340014
4459.02465858103,-0.01940017568124331,-0.021158672424916015,-0.038878748361290266,-0.02439695080079203
4459.046895175505,-0.028049818383476085,-0.013766692904907,-0.006359171792361719,-0.01030598984077485
